,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Content Rating NUM,Category NUM
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19,10000,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,1,0
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,1,0
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24,500000,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,1,0
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,10000,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,1,0
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,1,0
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15,10000,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,1,0
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10,100000,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,1,0
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,1,0
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12,10000,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,1,0
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,1,0
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26,100000,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up,1,0
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up,1,0
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up,1,0
8679,Dp for girls,ART_AND_DESIGN,4.2,175,8.2,50000,Free,0.0,Everyone,Art & Design,"May 26, 2017",1.2,4.0.3 and up,1,0
8712,Name Art DP - Focus n Filter Text 2018,ART_AND_DESIGN,4.3,132,7.7,10000,Free,0.0,Everyone,Art & Design,"January 4, 2018",1,4.1 and up,1,0
8871,Test Application DT 02,ART_AND_DESIGN,4.191767218366257,0,1.2,0,Free,0.0,Everyone,Art & Design,"March 14, 2017",4.0,4.2 and up,1,0
8888,Spring flowers theme couleurs d t space,ART_AND_DESIGN,5.0,1,2.9,100,Free,0.0,Everyone,Art & Design,"April 18, 2018",1.0.2,4.0 and up,1,0
